epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,743.671,0.94313,0.60739,1.06674,0.97398,0.94433,0.99108,0.80597,0.89273,0.47012,0.97496,0.000663943,0.000663943,0.000663943
43,762.385,0.95408,0.60982,1.07041,0.94003,1,0.98861,0.78012,0.97172,0.46534,0.987,0.000659819,0.000659819,0.000659819
44,780.397,0.93372,0.58983,1.05999,0.92829,0.97682,0.99063,0.76117,1.03914,0.46694,1.01379,0.000655696,0.000655696,0.000655696
45,797.202,0.93241,0.5987,1.05829,0.95703,0.98586,0.99281,0.80865,0.8895,0.43377,0.96301,0.000651573,0.000651573,0.000651573
46,814.877,0.91869,0.58334,1.05367,0.96125,0.96285,0.99333,0.82555,0.85647,0.4196,0.96327,0.000647449,0.000647449,0.000647449
47,833.657,0.92978,0.5797,1.06236,0.94216,0.96566,0.98975,0.77109,0.9373,0.44582,0.98978,0.000643326,0.000643326,0.000643326
48,850.643,0.91228,0.56658,1.05273,0.92774,0.9684,0.99245,0.80377,0.90756,0.46223,0.96394,0.000639203,0.000639203,0.000639203
49,867.836,0.92018,0.58224,1.05037,0.96535,0.97822,0.995,0.7819,0.98783,0.43736,1.00707,0.000635079,0.000635079,0.000635079
50,887.534,0.9265,0.5975,1.07172,0.93737,0.9746,0.99111,0.78967,0.88998,0.42315,0.98043,0.000630956,0.000630956,0.000630956
51,905.652,0.912,0.56819,1.04961,0.95077,1,0.99281,0.80574,0.85707,0.39862,0.98209,0.000626832,0.000626832,0.000626832
52,925.383,0.90899,0.56682,1.05156,0.98285,0.97149,0.995,0.79091,0.89919,0.4139,0.9761,0.000622709,0.000622709,0.000622709
53,942.599,0.92107,0.58658,1.05907,0.96376,0.97483,0.995,0.75658,1.07022,0.42224,1.01993,0.000618586,0.000618586,0.000618586
54,960.026,0.92992,0.56521,1.06134,0.952,0.9762,0.99333,0.83147,0.80462,0.38423,0.95707,0.000614462,0.000614462,0.000614462
55,975.998,0.92241,0.56305,1.0567,0.94944,0.97364,0.99281,0.8011,0.86104,0.41019,0.9677,0.000610339,0.000610339,0.000610339
56,994.932,0.90254,0.53976,1.0474,0.97147,0.97861,0.995,0.80937,0.87384,0.3972,0.96596,0.000606216,0.000606216,0.000606216
57,1012.49,0.89401,0.55187,1.04091,0.96386,0.97235,0.99281,0.797,0.92155,0.39519,0.98304,0.000602092,0.000602092,0.000602092
58,1031.73,0.89187,0.54618,1.04058,0.94078,0.9729,0.99111,0.82456,0.79736,0.40677,0.95608,0.000597969,0.000597969,0.000597969
59,1051.11,0.91092,0.5704,1.05614,0.91982,0.97593,0.98725,0.79911,0.89467,0.43522,0.97365,0.000593846,0.000593846,0.000593846
60,1067.2,0.89064,0.54581,1.03982,0.98284,0.98621,0.995,0.81842,0.81966,0.37117,0.94354,0.000589722,0.000589722,0.000589722
61,1085.25,0.88503,0.53069,1.04171,0.94139,0.98609,0.98975,0.80818,0.83683,0.40836,0.9561,0.000585599,0.000585599,0.000585599
62,1103.96,0.91889,0.56335,1.05711,0.95133,0.97461,0.99281,0.8126,0.88057,0.4201,0.96998,0.000581476,0.000581476,0.000581476
63,1121.29,0.879,0.53662,1.04342,0.96132,1,0.99281,0.83156,0.80535,0.39924,0.95615,0.000577352,0.000577352,0.000577352
64,1140.29,0.89566,0.54396,1.04604,0.97249,0.98012,0.995,0.811,0.86057,0.36749,0.94754,0.000573229,0.000573229,0.000573229
65,1159.51,0.89653,0.55236,1.04703,0.98663,0.99621,0.995,0.79597,0.95206,0.38927,0.97638,0.000569106,0.000569106,0.000569106
66,1178.49,0.88902,0.54302,1.04121,0.96797,0.98685,0.995,0.79969,0.85904,0.38951,0.95053,0.000564982,0.000564982,0.000564982
67,1196.03,0.85869,0.52261,1.02734,0.98468,0.99772,0.995,0.8239,0.8331,0.3784,0.95237,0.000560859,0.000560859,0.000560859
68,1213.17,0.88223,0.52213,1.03838,0.98226,0.98785,0.995,0.78025,0.97913,0.42444,0.99803,0.000556736,0.000556736,0.000556736
69,1230.55,0.87184,0.53142,1.04355,0.96772,0.97168,0.995,0.8216,0.86179,0.39038,0.96818,0.000552612,0.000552612,0.000552612
70,1249.95,0.87478,0.52426,1.04361,0.96388,0.96461,0.99115,0.83453,0.76359,0.40214,0.93816,0.000548489,0.000548489,0.000548489
71,1266.79,0.86148,0.51158,1.03064,0.94797,0.97682,0.99111,0.81064,0.81262,0.40312,0.94115,0.000544365,0.000544365,0.000544365
72,1284.21,0.86084,0.52277,1.02923,0.96429,0.98105,0.995,0.82248,0.81782,0.36817,0.94899,0.000540242,0.000540242,0.000540242
73,1301.56,0.86825,0.51573,1.03546,0.97406,0.98914,0.995,0.80817,0.88793,0.37539,0.97547,0.000536119,0.000536119,0.000536119
74,1321.34,0.85798,0.5232,1.03397,0.98439,0.96619,0.99333,0.81621,0.82039,0.39137,0.94829,0.000531995,0.000531995,0.000531995
75,1339.27,0.85376,0.51594,1.02958,0.97676,0.99693,0.995,0.8146,0.89043,0.36519,0.96194,0.000527872,0.000527872,0.000527872
76,1357.08,0.86092,0.50783,1.02337,0.97582,0.98438,0.992,0.82187,0.8274,0.3743,0.95793,0.000523749,0.000523749,0.000523749
77,1373.81,0.87207,0.52874,1.04002,0.96973,0.97929,0.995,0.7932,0.9582,0.38038,0.97766,0.000519625,0.000519625,0.000519625
78,1390.92,0.86251,0.50455,1.03049,0.97961,0.9743,0.995,0.81045,0.84753,0.37,0.94623,0.000515502,0.000515502,0.000515502
79,1406.84,0.85403,0.51232,1.0257,0.97129,0.97677,0.995,0.84528,0.78941,0.34489,0.94592,0.000511379,0.000511379,0.000511379
80,1422.62,0.83922,0.49564,1.01782,0.98245,0.97485,0.995,0.80982,0.84486,0.35786,0.95547,0.000507255,0.000507255,0.000507255
81,1439.74,0.8454,0.51804,1.02651,0.97621,0.98284,0.995,0.80587,0.90549,0.38254,0.96589,0.000503132,0.000503132,0.000503132
