epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.4244,1.36264,3.35127,1.37888,0.452,0.56513,0.56976,0.35841,1.30114,1.98977,1.29075,0.00331909,0.00331909,0.00331909
2,59.7514,1.25441,2.05869,1.29372,0.78192,0.83635,0.87397,0.62377,1.02441,1.16146,1.12979,0.00661949,0.00661949,0.00661949
3,84.2106,1.22864,1.64006,1.2505,0.67056,0.75891,0.82477,0.54281,1.20309,1.35059,1.18908,0.0098869,0.0098869,0.0098869
4,118.544,1.25003,1.50028,1.26915,0.84041,0.776,0.86557,0.58317,1.21678,1.18684,1.20429,0.0098515,0.0098515,0.0098515
5,153.325,1.21984,1.30747,1.2598,0.89179,0.89586,0.95659,0.68516,1.05723,0.90581,1.15181,0.009802,0.009802,0.009802
6,177.677,1.17544,1.16708,1.24177,0.91347,0.85221,0.94659,0.72688,0.92796,0.76705,1.09934,0.0097525,0.0097525,0.0097525
7,201.946,1.13383,1.03864,1.2121,0.89044,0.89503,0.92229,0.67329,0.97848,0.74268,1.07748,0.009703,0.009703,0.009703
8,233.062,1.12187,0.97516,1.20853,0.88949,0.83973,0.92592,0.64742,1.11938,0.89975,1.15714,0.0096535,0.0096535,0.0096535
9,271.382,1.08748,0.91261,1.18634,0.93194,0.90278,0.93024,0.58821,1.45982,0.8677,1.31285,0.009604,0.009604,0.009604
10,295.443,1.07405,0.882,1.17865,0.88431,0.91597,0.96668,0.73351,0.89382,0.65708,1.08204,0.0095545,0.0095545,0.0095545
11,319.662,1.05348,0.82726,1.16771,0.94628,0.96652,0.98675,0.76408,0.83125,0.6157,1.03083,0.009505,0.009505,0.009505
12,348.729,1.0492,0.81944,1.16823,0.86878,0.91391,0.93976,0.67892,1.13675,0.69556,1.14317,0.0094555,0.0094555,0.0094555
13,393.723,1.03564,0.79369,1.15818,0.85685,0.96153,0.97137,0.77156,0.86437,0.63649,1.04595,0.009406,0.009406,0.009406
14,421.959,1.01293,0.75571,1.14912,0.90031,0.94012,0.95637,0.72263,1.04849,0.62554,1.10321,0.0093565,0.0093565,0.0093565
15,446.147,1.0052,0.73078,1.13909,0.92899,0.94939,0.98108,0.78374,0.8598,0.56345,1.03185,0.009307,0.009307,0.009307
16,472.062,0.99654,0.73766,1.14317,0.89071,0.91593,0.96119,0.71175,1.03984,0.66633,1.08171,0.0092575,0.0092575,0.0092575
17,515.952,0.96956,0.69718,1.12787,0.97958,0.94398,0.98719,0.77234,0.94326,0.55357,1.03996,0.009208,0.009208,0.009208
18,546.861,0.97187,0.68824,1.12349,0.94337,0.87863,0.94772,0.74976,0.89886,0.5755,1.06977,0.0091585,0.0091585,0.0091585
19,570.969,0.96339,0.68245,1.12316,0.88828,0.93131,0.97124,0.77469,0.9283,0.54961,1.06427,0.009109,0.009109,0.009109
20,595.381,0.95589,0.67252,1.1252,0.90327,0.9407,0.962,0.73918,0.89134,0.56033,1.0662,0.0090595,0.0090595,0.0090595
21,631.652,0.9366,0.6633,1.1101,0.96031,0.94452,0.97586,0.77591,0.92017,0.54502,1.08074,0.00901,0.00901,0.00901
22,675.587,0.93365,0.6426,1.1087,0.92668,0.98281,0.97967,0.75011,0.94071,0.51957,1.09412,0.0089605,0.0089605,0.0089605
23,699.674,0.92867,0.64453,1.11106,0.93336,0.98782,0.98292,0.8161,0.79492,0.46371,0.99624,0.008911,0.008911,0.008911
24,724.248,0.92211,0.62852,1.09981,0.92395,0.9297,0.95916,0.75856,0.92234,0.51457,1.05033,0.0088615,0.0088615,0.0088615
25,749.133,0.91277,0.62936,1.09759,0.8961,0.93225,0.95315,0.74916,0.949,0.54801,1.07908,0.008812,0.008812,0.008812
26,793.315,0.89503,0.61563,1.09,0.93181,0.95755,0.97926,0.77203,0.92361,0.53554,1.05576,0.0087625,0.0087625,0.0087625
27,828.817,0.89135,0.59445,1.0866,0.96212,0.9218,0.97888,0.75623,0.91504,0.52247,1.05796,0.008713,0.008713,0.008713
28,853.233,0.88101,0.60277,1.08882,0.94631,0.95062,0.96758,0.75561,0.90522,0.47253,1.02312,0.0086635,0.0086635,0.0086635
29,877.612,0.8776,0.59818,1.08505,0.86242,0.98641,0.96835,0.74819,0.92181,0.51748,1.02334,0.008614,0.008614,0.008614
30,908.307,0.86774,0.5829,1.08019,0.90457,0.96524,0.97045,0.75251,0.92307,0.53137,1.06251,0.0085645,0.0085645,0.0085645
31,950.585,0.85466,0.57418,1.06887,0.87248,0.91635,0.94785,0.73805,0.90306,0.58601,1.04431,0.008515,0.008515,0.008515
32,981.151,0.86098,0.56732,1.07067,0.94175,0.90682,0.95195,0.73187,0.97236,0.53315,1.09081,0.0084655,0.0084655,0.0084655
33,1005.38,0.85522,0.56943,1.07513,0.89739,0.93359,0.95626,0.77275,0.88906,0.56108,1.03965,0.008416,0.008416,0.008416
34,1029.81,0.85141,0.57232,1.06866,0.84286,0.92347,0.91276,0.73447,1.01646,0.59839,1.10477,0.0083665,0.0083665,0.0083665
